entity_id,anatomy,biological_process,cellular_component,disease,drug,effect__phenotype,exposure,gene__protein,molecular_function,pathway
PHYHIP,1,1,1,0,0,0,0,1,1,0
GPANK1,1,1,1,0,0,0,0,1,1,0
ZRSR2,1,1,1,1,0,0,0,1,1,1
NRF1,1,1,1,1,0,0,0,1,1,1
PI4KA,1,1,1,1,0,0,0,1,1,1
SLC15A1,1,1,1,0,0,0,0,1,1,1
EIF3I,1,1,1,1,0,0,0,1,1,1
FAXDC2,1,1,1,1,0,0,0,1,1,0
MT1A,1,1,1,1,0,0,0,1,1,1
SORT1,1,1,1,1,0,1,0,1,1,1
LRP5,1,1,1,1,0,1,0,1,1,1
RPS8,1,1,1,1,0,1,0,1,1,1
CD7,1,1,1,1,0,1,0,1,1,0
MRPL9,1,1,1,1,0,0,0,1,1,1
PSMC4,1,1,1,0,0,0,0,1,1,1
EGR1,1,1,1,1,0,1,0,1,1,1
SNRPD2,1,1,1,0,0,0,0,1,1,1
KRTAP4-5,1,1,1,0,0,0,0,1,1,1
TAF1,1,1,1,1,0,0,0,1,1,1
VAV3,1,1,1,1,0,1,0,1,1,1
KRTAP5-9,1,1,1,0,0,0,0,1,1,1
HMOX2,1,1,1,0,0,1,0,1,1,1
FOS,1,1,1,1,0,1,0,1,1,1
DNAJC3,1,1,1,1,0,0,0,1,1,1
LGALS9,1,1,1,1,0,0,0,1,1,1
MYC,1,1,1,1,0,1,0,1,1,1
MAP3K6,1,1,1,1,0,0,0,1,1,0
KRT20,1,1,1,1,0,0,0,1,1,1
TUBGCP5,1,1,1,0,0,0,0,1,1,1
F2,1,1,1,1,0,1,0,1,1,1
DNM1,1,1,1,1,0,1,0,1,1,1
NUDC,1,1,1,0,0,0,0,1,1,1
CD53,1,1,1,1,0,0,0,1,1,1
GSK3B,1,1,1,1,0,1,0,1,1,1
NAXD,1,1,1,1,0,0,0,1,1,1
SLC7A14,1,1,1,1,0,0,0,1,1,0
PVR,1,1,1,1,0,0,0,1,1,1
CLCN7,1,1,1,1,0,0,0,1,1,1
CCNB1,1,1,1,1,0,0,0,1,1,1
ATF5,1,1,1,1,0,0,0,1,1,1
CDK2,1,1,1,1,0,0,0,1,1,1
NDUFS8,1,1,1,1,0,0,0,1,1,1
PITX1,1,1,1,1,0,1,0,1,1,0
PIK3R1,1,1,1,1,0,1,0,1,1,1
SRPK1,1,1,1,0,0,0,0,1,1,0
HOXD12,1,1,1,1,0,0,0,1,1,0
BZW2,1,1,1,1,0,0,0,1,1,0
TAB1,1,1,1,1,0,0,0,1,1,1
CDKL4,1,1,1,0,0,0,0,1,1,0
PPP1R16A,1,1,1,0,0,0,0,1,1,0
ETS2,1,1,1,1,0,1,0,1,1,1
SP1,1,1,1,1,0,1,0,1,1,1
NKIRAS2,1,1,1,0,0,0,0,1,1,1
IFIT2,1,1,1,1,0,0,0,1,1,1
AURKA,1,1,1,1,0,0,0,1,1,1
TRA2B,1,1,1,1,0,0,0,1,1,1
KAT5,1,1,1,0,0,0,0,1,1,1
TLX3,1,1,1,1,0,0,0,1,1,0
XRN2,1,1,1,0,0,0,0,1,1,1
RPL5,1,1,1,1,0,0,0,1,1,1
SNAP23,1,1,1,1,0,0,0,1,1,1
CALM1,1,1,1,1,0,1,0,1,1,1
INPP1,1,1,1,1,0,0,0,1,1,1
PPP5C,1,1,1,0,0,0,0,1,1,1
dorsal fin ray 2,1,0,0,0,0,0,0,0,0,0
dorsal fin ray 3,1,0,0,0,0,0,0,0,0,0
dorsal fin ray 4,1,0,0,0,0,0,0,0,0,0
dorsal fin ray 5,1,0,0,0,0,0,0,0,0,0
dorsal fin ray 6,1,0,0,0,0,0,0,0,0,0
dorsal fin ray 7,1,0,0,0,0,0,0,0,0,0
pectoral fin ray 1,1,0,0,0,0,0,0,0,0,0
pectoral fin ray 2,1,0,0,0,0,0,0,0,0,0
pectoral fin ray 3,1,0,0,0,0,0,0,0,0,0
pectoral fin ray 4,1,0,0,0,0,0,0,0,0,0
