question,gold_answers,retrieved_context,llm_answer,pred_genes,precision,recall,f1
治療 mental disorder 的藥物作用於哪些基因？,"['CALM1', 'ADRA2B', 'BCHE', 'CHRM3', 'HTR2C', 'HTR2B', 'ADRA1A', 'ADRA1D', 'DRD2', 'ADRA2A', 'DRD1', 'HTR2A', 'CYP1A2', 'ABCB1', 'ALB', 'KCNH2', 'ORM1', 'ADRA2C', 'HTR6', 'ADRA1B', 'CYP2E1', 'HRH1', 'ABCB11', 'DRD3', 'CYP3A4', 'DRD4', 'ORM2', 'HTR1A', 'CHRM1', 'DRD5', 'HTR7', 'SMPD1', 'CYP2D6', 'HRH4', 'CHRM2', 'ABCC2', 'BIRC5', 'SLC18A1', 'SLC22A2', 'SLC18A2', 'SLCO1B1', 'CYP3A5', 'SLC22A1', 'SLCO2B1', 'CYP1A1', 'GRIN2B', 'SIGMAR1', 'CYP2C9', 'CBR1', 'UGT1A9', 'MCHR1', 'CYP2C19', 'CYP3A7', 'HTR1D', 'AR']","['mental disorder disease_protein DRD5', 'DRD5 disease_protein mental disorder', 'psychiatric disorder disease_protein MAOA', 'mental disorder indication Chlorpromazine', 'mental disorder indication Fluphenazine']","DRD5, MAOA","['DRD5', 'MAOA']",0.5,0.01818181818181818,0.03508771929824561
治療 gingivitis 的藥物作用於哪些基因？,"['SLC22A6', 'ALB', 'SLC22A8', 'SLC22A7', 'SLC22A11', 'PADI4', 'CYP3A4', 'SLCO2B1', 'SLC15A1', 'SLC22A5', 'SLC15A2', 'SLC22A4', 'SLCO1B1', 'SLCO3A1', 'SLCO4A1', 'ABCC2', 'ABCG2', 'ABCB11', 'UGT1A1', 'CYP2D6', 'MAPK14', 'NOS2', 'MAPK1', 'VEGFA', 'MAPK9', 'MAPK3', 'MAPK8', 'IL1B', 'MAPK6', 'MAPK12', 'MAPK7', 'CASP3', 'CASP1', 'MAPK10', 'MMP9', 'ALOX5', 'CYCS', 'MAPK11', 'MAPK13', 'MAPK4', 'MAPK15', 'AVPR2']","['Gatifloxacin drug_effect Gingivitis', 'gingivitis indication Fusidic acid', 'Gadoteridol drug_effect Gingivitis', 'fibromatosis, gingival disease_protein GINGF2', 'Nicotine drug_effect Gingivitis']","GINGF2, gyrA, gyrB, parC, parE, fusA","['GINGF2', 'GYRA', 'GYRB', 'PARC', 'PARE', 'FUSA']",0.0,0.0,0
治療 hereditary angioedema 的藥物作用於哪些基因？,"['NR3C1', 'CYP2C8', 'SERPINA6', 'CYP19A1', 'ABCB1', 'ALB', 'CYP2B6', 'CYP2C9', 'CYP3A4', 'CYP2A6', 'CYP3A5', 'CYP2C19', 'CYP3A7', 'CYP1B1', 'BCHE', 'PTGS2', 'HSD11B1', 'SLCO1A2', 'CYP3A43', 'ANXA1', 'SHBG', 'SLC22A8', 'AKR1D1', 'SRD5A2', 'HSD11B2', 'CYP11B2', 'CYP11B1', 'ABCG2', 'HSD3B1', 'CYP1A1', 'NOS2', 'ABCC2', 'NR1I2', 'CYP17A1', 'CYP4A11', 'CYP2E1', 'NR0B1', 'ABCB11', 'HTR2C', 'ADRA1A', 'DRD2', 'HTR2A', 'CYP1A2', 'HRH1', 'CHRM1', 'CYP2D6', 'F2', 'F11', 'PLAT', 'C1R', 'C1S', 'KLKB1', 'F12', 'AR', 'BDKRB2', 'ANPEP']","['C1S disease_protein hereditary angioedema', 'hereditary angioedema indication Ecallantide', 'hereditary angioedema indication Prednisolone', 'angioedema disease_protein IL18', 'hereditary angioedema indication Icatibant']","KLKB1, BDKRB2","['KLKB1', 'BDKRB2']",1.0,0.03571428571428571,0.0689655172413793
治療 sarcoidosis 的藥物作用於哪些基因？,"['NR3C1', 'CYP2C8', 'SERPINA6', 'CYP19A1', 'ABCB1', 'ALB', 'CYP2B6', 'CYP2C9', 'CYP3A4', 'CYP2A6', 'CYP3A5', 'CYP2C19', 'CYP3A7', 'CYP1B1', 'BCHE', 'PTGS2', 'HSD11B1', 'SLCO1A2', 'CYP3A43', 'ANXA1', 'SHBG', 'SLC22A8', 'AKR1D1', 'SRD5A2', 'HSD11B2', 'CYP11B2', 'CYP11B1', 'ABCG2', 'HSD3B1', 'CYP1A1', 'NOS2', 'ABCC2', 'NR1I2', 'CYP17A1', 'CYP4A11', 'CYP2E1', 'NR0B1', 'ABCB11']","['sarcoidosis disease_protein SOD2', 'IL18 disease_protein sarcoidosis', 'sarcoglycanopathy disease_protein SGCA', 'SART3 disease_protein porokeratosis (disease)', 'porokeratosis (disease) disease_protein SART3']","SOD2, IL18","['SOD2', 'IL18']",0.0,0.0,0
治療 epilepsy with generalized tonic-clonic seizures 的藥物作用於哪些基因？,"['COMT', 'GABRG2', 'CYP2C8', 'GABRA3', 'GABRE', 'CACNB4', 'CACNA1F', 'CYP2C18', 'UGT1A4', 'CACNB3', 'ABCC2', 'NR1I2', 'NQO1', 'CYP1A2', 'ABCB1', 'GABRB3', 'ALB', 'EPHX1', 'KCNH2', 'CACNB1', 'CYP2B6', 'GABRA4', 'CACNA1A', 'GABRA1', 'GABRD', 'CACNA1S', 'CACNA1C', 'GABRA6', 'GABRA5', 'CYP2C9', 'SCN1B', 'CYP2E1', 'CACNB2', 'SERPINA7', 'CYP3A4', 'UGT1A6', 'UGT1A9', 'SCN2A', 'GABRB1', 'CYP2A6', 'SCN5A', 'CACNA1D', 'SCN3A', 'SCN1A', 'CYP3A5', 'GABRA2', 'GABRB2', 'CYP2C19', 'CYP3A7', 'UGT1A1', 'SLCO1C1', 'CYP2D6', 'GABRG1', 'SCN8A', 'GABRQ', 'GABRG3', 'GABRP', 'CYP11B1', 'PRKAB2', 'PRKAA2', 'CA1', 'CA3', 'PRKAA1', 'GRIK3', 'PRKAB1', 'GRIK5', 'CACNA1E', 'CA4', 'PRKAG1', 'GRIK2', 'CA2', 'SCN4A', 'PRKAG2', 'GRIK1', 'PRKAG3', 'GRIK4', 'SCN10A', 'SCN11A', 'SCN9A', 'SCN7A', 'UGT2B7', 'RALBP1', 'CHRNA4', 'UGT1A7', 'CYP1A1', 'GRIA2', 'GRIN2B', 'ABCC1', 'ABCB11', 'GRIN1', 'GRIN2C', 'GRIN2A', 'GRIN2D', 'CYP4B1', 'ABCC3', 'CHRNA7', 'GRIN3A', 'SLCO2A1', 'GRIN3B', 'UGT1A8', 'TRPM3', 'UGT1A10', 'UGT2B15', 'UGT1A3', 'UGT2B4']","['BCHE disease_protein epilepsy with generalized tonic-clonic seizures', 'NGF disease_protein epilepsy with generalized tonic-clonic seizures', 'epilepsy with generalized tonic-clonic seizures disease_protein NGF', 'epilepsy with generalized tonic-clonic seizures indication Carbamazepine', 'epilepsy with generalized tonic-clonic seizures indication Ethotoin']","SCN1A, SCN2A, SCN3A, SCN8A","['SCN1A', 'SCN2A', 'SCN3A', 'SCN8A']",1.0,0.0380952380952381,0.07339449541284404
治療 urinary bladder neoplasm 的藥物作用於哪些基因？,"['BCHE', 'CYP2B6', 'CYP3A4', 'TOP2A']","['ATM disease_protein bladder benign neoplasm', 'NCAN disease_protein non-papillary transitional cell carcinoma of the bladder', 'NCAN disease_protein urinary bladder neoplasm', 'ACHE disease_protein urinary bladder neoplasm', 'ATM disease_protein bladder carcinoma in situ']","ATM, NCAN, ACHE","['ATM', 'NCAN', 'ACHE']",0.0,0.0,0
治療 Prinzmetal angina 的藥物作用於哪些基因？,"['CYP2C8', 'ABCB1', 'ALB', 'ORM1', 'CACNG1', 'CACNA1C', 'CYP3A4', 'CYP3A5', 'CYP2C19', 'CYP3A7', 'CYP2D6', 'CYP2C18', 'ADRA1A', 'ADRA1D', 'SLC6A4', 'CACNA1B', 'ABCC1', 'SLC22A5', 'ABCC4', 'CYP1A2', 'KCNH2', 'CYP2B6', 'SLC22A4', 'ADRA1B', 'CACNA1A', 'KCNJ11', 'CYP2C9', 'CYP2E1', 'CACNA1G', 'CACNA1H', 'SLCO1A2', 'SLCO1B1', 'SLC47A1', 'SLC22A1', 'ABCC3', 'ABCC10', 'SLC47A2', 'HDAC2', 'ABCC2', 'HMGCR', 'AHR', 'NR1I3', 'DPP4', 'ABCB11', 'ABCC5', 'UGT1A1', 'UGT1A3', 'SLCO1B3', 'SLCO2B1', 'CALM1', 'CYP1A1', 'NR1I2', 'KCND3', 'CACNA1S', 'CACNB2', 'ORM2', 'CYP2A6', 'CACNA1D', 'CACNA1I', 'CA1', 'CACNB1', 'SMPD1', 'CACNA2D3']","['Prinzmetal angina indication Atorvastatin', 'Prinzmetal angina indication Nifedipine', 'Prinzmetal angina indication Verapamil', 'Prinzmetal angina indication Amlodipine', 'Prinzmetal angina indication Diltiazem']","HMGCR, CACNA1C","['HMGCR', 'CACNA1C']",1.0,0.031746031746031744,0.06153846153846154
治療 monosomy X 的藥物作用於哪些基因？,"['GHR', 'PRLR']","['monosomy X disease_protein GH1', 'monosomy X disease_protein NOS2', 'GH1 disease_protein monosomy X', 'NOS2 disease_protein monosomy X', 'autosomal monosomy disease_protein MSX1']","GH1, NOS2","['GH1', 'NOS2']",0.0,0.0,0
治療 benign recurrent intrahepatic cholestasis 的藥物作用於哪些基因？,"['PRKCB', 'PPP2CB', 'SOD1', 'PRKCA', 'PPP2CA', 'SEC14L2', 'GSTP1', 'ABCA1', 'HMOX1', 'NR1I2', 'ALOX5', 'NQO1', 'SEC14L4', 'GCLC', 'PLTP', 'TTPA', 'GSTM3', 'SCARB1', 'DGKA', 'ABCG1', 'CYP3A4', 'GSTO1', 'GSTA2', 'SEC14L3', 'NPC1L1']","['benign recurrent intrahepatic cholestasis disease_protein TNF', 'benign recurrent intrahepatic cholestasis disease_protein HSD3B7', 'benign recurrent intrahepatic cholestasis disease_protein VIL1', 'benign recurrent intrahepatic cholestasis disease_protein CCL7', 'benign recurrent intrahepatic cholestasis disease_protein HNF1B']","TNF, HSD3B7, VIL1, CCL7, HNF1B","['TNF', 'HSD3B7', 'VIL1', 'CCL7', 'HNF1B']",0.0,0.0,0
治療 thrombocythemia 的藥物作用於哪些基因？,"['CYP1A2', 'PDE3A']","['THBD disease_protein thrombomodulin-related bleeding disorder', 'disseminated intravascular coagulation disease_protein THBD', 'THBD disease_protein disseminated intravascular coagulation', 'thrombomodulin-related bleeding disorder disease_protein THBD', 'WAS disease_protein thrombocytopenia']","JAK2, RRM1, RRM2, CDK6","['JAK2', 'RRM1', 'RRM2', 'CDK6']",0.0,0.0,0
